// Adapted from:
// http://wiki.uqm.stack.nl/List_of_planets
// and
// http://wiki.uqm.stack.nl/script/images/9/9c/PlanetDatabase.zip
//
// Data compiled by Scott A. Colcord (Elestan on http://forum.uqm.stack.nl)
// and published 2011/06/29.
//
// The order of starsystems in this document
// appears to match that in plandata.c.
//
// 0, 	1,   2,3,4,      5,        6,       7,    8,     9,   10,    11,       12,     13,     14,       15,      16,      17,       18,  19,       20,     21,    22,     23,  24, 25,        26,        27
Cluster,Star,X,Y,DistSol,StarColor,StarSize,Fleet,Planet,Type,Hazard,Tectonics,Weather,Thermal,BioHazard,BioUnits,MinValue,MinVolume,Fuel,AxialTilt,Density,Radius,Gravity,Temp,Day,Atmosphere,LifeChance,DistFromStar
Scuti,Zeta,531.3,015.0,379.0,white,,Yehat,I,Redux,7,2,4,7,,,132,66,2.1,13,100,106,106,561,181,96,-140,438
,,,,,,,,I-a,Cyanic,6,3,,6,,,78,78,0.2,-19,33,30,9,485,231,88,260,
,,,,,,,,I-b,Selenic,,,,,,,69,23,0.3,10,58,29,16,530,180,101,-290,
,,,,,,,,II,Emerald,2,1,1,2,,,1725,69,1.2,-7,59,102,60,80,288,0,-590,1020
,,,,,,,,III,Ruby,3,3,,1,,,1700,68,,21,61,96,58,-94,276,,-740,3957
,,,,,,,,IV,Plutonic,5,5,3,,,6,695,154,2.7,0,151,89,134,-110,185,109,410,4776
,,,,,,,,V,Gas Giant,8,3,8,,,0,0,0,1.5,-14,20,387,77,-117,141,65535,-1,5209
,,,,,,,,V-a,Quasi-Degenerate,3,,1,,,,925,37,0.8,2,151,27,40,,255,0,-740,
,,,,,,,,V-b,Selenic,,,,,,,69,23,0.4,19,60,33,19,,26678,,,
,,,,,,,,VI,Gas Giant,8,1,8,,,,0,0,3.0,-10,21,1314,275,-127,87,65535,-1,5973
,,,,,,,,VI-a,Opalescent,2,2,1,,,,280,83,0.4,33,58,34,19,,155,0,-740,
,,,,,,,,VI-b,Oolite,3,3,2,,,,861,166,0.9,17,143,31,44,,222,102,410,
,,,,,,,,VI-c,Halide,1,1,1,,,,280,116,0.4,-7,62,36,22,,172,0,-740,
Krueger,Epsilon,026.5,015.6,197.1,orange,,Pkunk,I,Urea,8,8,3,,,,0,0,0.3,20,63,26,16,-159,211,101,210,1078
,,,,,,,,II,Copper,2,1,2,,,,36,12,1.0,13,156,33,51,-200,153,10,160,2598
,,,,,,,,III,Azure,3,3,,,,,150,50,0.3,-27,58,27,15,-207,240,,,3228
,,,,,,,,IV,Gas Giant,8,2,8,,,,0,0,2.8,24,21,669,140,-214,83,65535,-1,3985
,,,,,,,,IV-a,Acid,4,4,1,,,,363,363,0.7,-15,102,35,35,,27452,0,-940,
,,,,,,,,IV-b,Crimson,,1,3,,4,6,189,65,,-3,99,,34,,253,83,360,
,,,,,,,,IV-c,Super-Dense,7,7,,,1,0,105,35,1.5,1,206,37,76,,165,82,,
,,,,,,,,V,Crimson,3,3,2,,,,92,34,0.5,4,97,25,24,-228,223,108,210,6767
Serpentis,Theta,452.9,016.9,305.8,blue,,Yehat,I,Fluorescent,5,5,1,,,,1186,199,2.6,-30,146,90,131,-126,247,0,-740,4093
,,,,,,,,II,Carbide,4,4,,,,,103,103,0.5,31,105,25,26,-148,230,,,5639
,,,,,,,,III,Green,6,6,2,,,,300,60,0.6,-12,102,29,29,-168,163,79,360,7923
,Alpha,491.1,018.0,340.4,orange,giant,,I,Gas Giant,8,2,8,2,,,0,0,3.0,22,21,1281,269,94,112,65535,-1,5117
,,,,,,,,I-a,Radioactive,2,1,2,1,,,2024,253,1.0,0,195,27,52,11,21848,12,760,
,,,,,,,,I-b,Green,5,3,5,2,,,330,66,0.5,-2,100,,27,70,233,266,560,
,,,,,,,,II,Gas Giant,8,2,8,,,,0,0,2.0,-12,21,485,101,65,150,65535,-1,5723
,,,,,,,,II-a,Infrared,4,,4,,,,72,24,0.6,-1,100,30,30,78,225,209,560,
,,,,,,,,II-b,Noble,3,3,1,1,,,391,130,0.2,-16,34,35,11,1,183,10,760,
,,,,,,,,III,Gas Giant,8,2,8,,,,0,0,3.0,31,20,1124,224,-60,105,65535,-1,7814
,,,,,,,,III-a,Copper,3,3,1,,,,51,17,0.9,13,154,30,46,,29340,14,360,
,,,,,,,,III-b,Purple,,,,,,,93,31,0.4,-8,62,32,19,,216,0,-740,
,,,,,,,,III-c,Urea,6,6,2,,,,89,89,,-9,63,36,22,,177,84,560,
,Delta,474.7,022.1,323.7,,dwarf,,I,Chlorine,5,5,1,,3,87,228,122,2.0,-17,105,94,98,-133,290,0,-740,719
,,,,,,,,II,Super-Dense,6,6,3,,1,0,246,82,1.3,-23,199,34,67,-196,271,86,360,2387
,,,,,,,,III,Selenic,2,2,1,,,,18,6,0.3,-24,59,27,15,-210,291,0,-940,3553
,,,,,,,,IV,Magma,8,8,,,,,75,25,3.0,11,144,104,149,-215,163,,,4183
,,,,,,,,V,Radioactive,2,2,,,,,1072,134,1.2,-11,201,30,60,-226,255,,,6221
,,,,,,,,VI,Infrared,4,4,2,,,,0,0,0.7,-16,99,35,34,-228,,78,360,6989
,,,,,,,,VII,Gas Giant,8,1,8,,,,,,3.0,-20,21,707,148,-230,146,65535,-1,7635
,,,,,,,,VII-a,Urea,6,6,2,,5,18,33,33,0.3,-19,58,28,16,,173,87,360,
,,,,,,,,VII-b,Green,5,5,,,1,0,190,38,0.6,,96,30,28,,231,88,,
,,,,,,,,VII-c,Infrared,4,4,,,,43,180,60,,-17,101,,30,,266,78,,
,,,,,,,,VII-d,Copper,3,3,1,,,0,393,131,1.1,22,156,35,54,,212,14,160,
Alcor,Prime,970.8,025.0,804.5,blue,,None,I,Radioactive,2,1,2,,,,536,67,,13,196,29,56,23,228,11,760,1208
,,,,,,,,II,Gas Giant,8,2,8,,,,0,0,3.0,-14,21,1360,285,-55,127,65535,-1,1861
,,,,,,,,II-a,Noble,1,1,1,,,,408,111,0.2,-16,32,31,9,,281,0,-740,
,,,,,,,,II-b,Carbide,4,4,,,,,122,122,0.6,-19,96,30,28,,231,,,
,,,,,,,,II-c,Ultramarine,,3,3,,,42,366,90,0.2,18,32,29,9,,34131,94,560,
,,,,,,,,III,Gas Giant,8,1,8,,,0,0,0,1.3,-2,20,329,65,-85,118,65535,-1,2509
,,,,,,,,III-a,Alkali,2,2,2,,,,216,72,0.6,0,96,32,30,,214,10,360,
,,,,,,,,IV,Auric,,1,,,,,72,12,1.0,2,146,34,49,-106,156,,,3155
,,,,,,,,V,Opalescent,5,5,1,,,,162,63,0.4,-3,61,32,19,-143,231,0,-740,5188
,,,,,,,,VI,Organic,4,4,,,,,91,91,2.1,-22,97,107,103,-150,288,,,5827
,,,,,,,,VI-a,Oolite,3,3,2,,,,933,172,0.9,-3,149,29,43,,241,95,560,
Serpentis,Beta,486.1,026.2,332.8,white,,Yehat,I,Plutonic,,2,3,,,,847,189,3.0,6,152,107,162,-119,285,78,,5336
Gorno,Delta,290.8,026.9,165.2,blue,,None,,Selenic,4,3,,2,,,66,22,0.4,-8,63,30,18,55,162,15,610,964
,,,,,,,,II,,3,,1,1,,,57,19,,-4,60,33,19,-73,272,0,-740,2194
,,,,,,,,III,,1,1,,,,,195,65,0.3,50,61,28,17,-95,19692,,,2780
,,,,,,,,IV,Metal,6,4,3,,6,70,1455,367,0.9,-17,152,30,45,-107,190,98,560,3204
,,,,,,,,V,,4,3,,,2,5,634,214,,22,156,,46,-136,297,76,,4691
,,,,,,,,VI,,,,,,1,0,1072,279,1.2,-6,157,37,58,-147,155,91,,5513
Ptolemae,Epsilon,185.5,027.0,118.4,green,,,I,Alkali,5,5,2,,,,63,21,0.6,-16,102,29,29,-150,164,10,360,3726
Trianguli,Beta,795.8,,631.7,blue,,,,Yttric,3,3,,,,21,0,0,1.0,0,149,33,49,-46,299,15,660,1731
Scuti,Delta,516.0,028.0,360.3,yellow,,Yehat,,Iodine,7,5,,,7,70,112,49,1.3,-9,61,105,64,-175,158,14,160,3278
,,,,,,,,I-a,Infrared,4,4,3,,1,0,93,31,0.6,17,102,30,30,,176,75,360,
,,,,,,,,II,Organic,5,5,1,,,,127,127,1.9,20,,94,95,-193,278,0,-940,4964
,,,,,,,,III,Super-Dense,6,6,2,,,,69,23,1.2,-11,209,30,62,-206,267,80,360,6968
Krueger,,057.0,028.9,165.6,green,,Pkunk,I,Gas Giant,8,3,8,,,,0,0,3.0,-14,20,1251,250,-58,156,65535,-1,1217
,,,,,,,,I-a,Halide,1,1,1,,,,148,56,0.3,0,60,27,16,,21848,0,-740,
,,,,,,,,I-b,Noble,2,2,,,,,292,73,0.2,-13,34,35,11,,201,,,
,,,,,,,,I-c,Treasure,3,3,,,,,522,87,1.2,-26,195,32,62,,234,,,
,,,,,,,,II,Gas Giant,8,1,8,,,,0,0,2.1,-1,21,506,106,-92,149,65535,-1,1717
,,,,,,,,III,Cyanic,1,,1,,,,79,79,0.2,-11,32,35,11,-146,206,0,-740,3482
,,,,,,,,IV,Iodine,5,5,,,2,42,109,51,1.1,-20,59,96,56,-181,165,10,160,6628
Serpentis,Gamma,492.3,029.4,337.5,yellow,,Yehat,I,Water,,4,4,,5,39,159,43,1.7,-9,103,84,86,16,151,75,960,542
,,,,,,,,I-a,Azure,4,3,,,1,12,90,30,0.4,-12,60,31,18,29,298,96,,
,,,,,,,,II,Primordial,8,8,3,,,8,162,100,1.9,-36,101,95,95,-164,254,77,360,2671
,,,,,,,,II-a,Pellucid,1,1,1,,,0,100,4,0.4,25,60,33,19,,55025,0,-940,
,,,,,,,,III,Halide,3,3,,,,,272,82,,11,63,30,18,-177,163,,,3421
,,,,,,,,IV,Cyanic,1,1,,,,,85,85,0.2,-25,33,37,12,-196,153,,,5351
,,,,,,,,V,Carbide,4,4,,,,,,,0.6,1,100,31,31,-201,57230,,,6005
,,,,,,,,VI,Redux,,,,,,,290,136,1.7,10,96,91,87,-203,227,,,6487
,,,,,,,,VII,Telluric,6,3,2,,6,42,519,124,2.1,-1,105,102,107,-207,210,82,360,7282
,,,,,,,,VII-a,Halide,1,1,1,,1,0,246,78,0.3,-4,63,27,17,,56237,0,-940,
,,,,,,,,VII-b,Opalescent,3,3,,,,,94,43,0.4,12,59,31,18,,191,,,
Gorno,Epsilon,282.0,030.1,156.8,green,,None,I,,,,,,,,311,87,,-10,62,36,22,-164,205,,,4724
Trianguli,Alpha,793.4,031.8,628.4,blue,,,,Water,6,,6,3,2,154,192,64,2.0,1,98,101,98,135,28670,220,560,660
,,,,,,,,II,Chlorine,,6,1,1,1,0,241,169,1.5,-49,96,79,75,-55,290,0,-740,1861
,,,,,,,,III,Carbide,2,2,,,,,91,91,0.6,-17,98,31,30,-95,296,,,2786
,,,,,,,,IV,Primordial,8,8,3,,,,443,271,1.7,19,104,84,87,-116,245,102,410,3544
,,,,,,,,IV-a,Carbide,4,4,1,,,,137,137,0.7,-4,105,33,34,,253,0,-740,
,,,,,,,,V,Azure,7,6,2,,7,70,132,44,0.4,-13,60,30,18,-144,250,13,360,5293
,,,,,,,,VI,Urea,,7,,,1,0,36,36,0.3,11,,27,16,-153,238,88,,6065
,,,,,,,,VII,Halide,3,3,1,,,,444,126,0.4,-14,59,34,20,-156,244,0,-940,6474
,,,,,,,,VIII,Gas Giant,8,2,8,,,,0,0,3.0,-16,21,1079,226,-167,156,65535,-1,7809
,,,,,,,,VIII-a,Quasi-Degenerate,5,5,1,,,,,,0.8,-20,145,28,40,,187,0,-940,
,,,,,,,,VIII-b,Yttric,3,3,,,2,28,339,87,0.9,9,152,30,45,,227,15,260,
,,,,,,,,VIII-c,Quasi-Degenerate,5,5,,,1,0,1100,44,1.0,26,150,33,49,,226,0,-940,
,,,,,,,,VIII-d,Alkali,3,3,,,,,246,82,0.7,6,105,,34,,176,14,160,
,Gamma,806.2,,641.0,red,,,I,Iodine,5,5,3,,,,101,44,1.3,-6,59,110,64,-199,192,13,,647
,,,,,,,,I-a,Urea,,,4,,5,92,25,25,0.4,48,61,31,18,,293,107,210,
,,,,,,,,II,,8,8,3,,1,0,39,39,0.3,-13,58,27,15,-236,26897,84,360,2486
,,,,,,,,III,Super-Dense,6,6,,,5,34,108,36,1.1,-18,199,28,55,-239,185,82,,2914
,,,,,,,,IV,Ruby,2,2,1,,1,0,1875,75,1.0,-21,60,80,48,-244,27666,0,-940,4081
,,,,,,,,IV-a,Ultramarine,4,3,3,,,14,196,51,0.2,-19,34,33,11,,298,89,360,
,,,,,,,,V,Pellucid,1,1,1,,,0,50,2,0.4,8,61,35,21,-249,58762,0,-940,5980
,,,,,,,,VI,Gas Giant,8,,8,,,,0,0,3.0,-19,21,1427,299,-252,158,65535,-1,7501
,,,,,,,,VI-a,Selenic,1,,1,,,,108,36,0.4,1,58,34,19,,247,0,-940,
Giclas,Zeta,111.6,033.4,128.4,green,,Pkunk,I,Gas Giant,8,2,8,,,,0,0,1.3,49,21,320,67,-52,127,65535,-1,1155
,,,,,,,,I-a,Treasure,2,,1,,,,1476,246,1.0,-2,196,27,52,,19844,0,-740,
,,,,,,,,II,Purple,4,4,,,,,69,23,0.3,-10,63,25,15,-124,185,,,2557
,,,,,,,,III,Gas Giant,8,2,8,,,,0,0,1.3,20,21,314,65,-156,80,65535,-1,4133
,,,,,,,,III-a,Chondrite,5,5,1,,,,31,31,0.5,15,96,27,25,,154,0,-940,
,,,,,,,,III-b,Green,,,3,,,,380,76,0.7,9,100,35,35,,266,92,360,
,,,,,,,,III-c,Noble,2,2,1,,,,149,50,0.2,20,32,27,8,,287,0,-940,
,,,,,,,,IV,Purple,,,,,,,120,40,0.4,24,63,30,18,-186,24644,,,7321
,Gamma,080.3,033.7,146.2,yellow,,,I,Gas Giant,8,3,8,,,,0,0,3.0,1,20,975,195,-148,101,65535,-1,2015
,,,,,,,,I-a,Pellucid,3,,1,,,,,,0.3,5,58,26,15,,245,0,-740,
,,,,,,,,II,Opalescent,2,2,,,,,231,75,0.4,10,59,33,19,-173,226,,-940,3158
,,,,,,,,III,,4,4,,,,,92,28,,-13,,36,21,-191,276,,,4729
Ptolemae,Zeta,178.7,033.8,111.2,green,,None,I,Green,6,,6,2,2,152,150,30,0.5,11,100,25,25,82,297,218,560,885
,,,,,,,,II,Gas Giant,8,1,8,1,1,0,0,0,3.0,-1,21,1070,224,-105,111,65535,-1,1993
,,,,,,,,II-a,Opalescent,2,2,1,,,,91,35,0.3,15,58,27,15,,154,0,-740,
,,,,,,,,III,Noble,3,3,,,,,164,53,0.2,5,33,35,11,-126,224,,,2592
Giclas,Delta,087.7,034.0,141.3,yellow,,Pkunk,I,Primordial,8,8,6,2,,,360,166,2.2,23,100,108,108,72,215,216,560,515
,,,,,,,,II,Metal,4,3,3,1,,,984,255,1.1,-5,148,37,54,-125,219,92,,1458
,,,,,,,,III,Green,,4,,,,,275,55,0.6,12,98,29,28,-158,261,78,360,2396
,,,,,,,,IV,Water,2,2,2,,,,222,59,1.5,7,,77,75,-176,12411,12,160,3401
,,,,,,,,V,Purple,4,4,1,,,,174,58,0.3,-33,58,25,14,-185,263,0,-940,4088
,,,,,,,,VI,Carbide,2,2,,,,,72,72,0.7,-4,100,34,34,-190,190,,,4565
,,,,,,,,VII,Super-Dense,5,5,3,,,,222,74,1.0,20,195,25,48,-196,239,80,360,5255
,,,,,,,,VIII,Metal,,2,2,,5,16,1037,298,0.8,-17,149,26,38,-209,255,101,210,7652
Scuti,Epsilon,533.8,035.5,374.9,white,,Yehat,I,Gas Giant,10,3,8,8,1,0,0,0,1.9,35,20,488,97,1003,150,65535,-1,853
,,,,,,,,I-a,Metal,,,,,,,904,189,1.1,11,144,37,53,1121,284,3130,-540,
,,,,,,,,II,Lanthanide,7,7,2,1,,,820,164,0.9,26,156,30,46,24,258,10,760,1698
,,,,,,,,III,Gas Giant,8,3,8,2,,,0,0,3.0,7,21,1040,218,68,156,65535,-1,2291
,,,,,,,,III-a,Auric,4,,3,1,2,4,966,161,1.0,-22,146,36,52,6,47757,86,960,
,,,,,,,,III-b,Acid,,4,2,,,40,155,155,0.6,-26,100,32,32,-15,234,10,560,
,,,,,,,,IV,Ultraviolet,6,6,3,,5,20,1150,257,2.9,-13,155,94,145,-67,263,111,410,2995
,,,,,,,,V,Gas Giant,8,1,8,,1,0,0,0,2.4,26,21,574,120,-109,131,65535,-1,4724
,,,,,,,,V-a,Treasure,2,2,1,,,,900,150,1.5,-4,200,37,74,,180,0,-740,
,,,,,,,,V-b,Auric,7,,2,,7,83,1602,267,0.8,-12,154,26,40,,44356,13,360,
,,,,,,,,V-c,Opalescent,4,4,1,,1,0,202,64,0.4,-9,60,36,21,,228,0,-740,
,,,,,,,,V-d,Metal,5,5,3,,2,28,641,167,1.1,-1,156,,56,,291,97,560,
,,,,,,,,VI,Gas Giant,8,1,8,,1,0,0,0,3.0,0,21,778,163,-116,142,65535,-1,5142
,,,,,,,,VI-a,Cyanic,2,2,1,,,,100,100,0.2,8,32,33,10,,31774,0,-740,
,,,,,,,,VII,Emerald,,,,,,,925,37,1.0,11,58,83,48,-127,183,,,5946
,Alpha,503.9,037.3,345.8,orange,,,I,Magnetic,6,6,,,,,228,76,2.7,-15,153,89,136,-221,285,,-940,5202
,,,,,,,,I-a,Green,5,5,3,,,,0,0,0.6,-8,98,32,31,,216,81,360,
,,,,,,,,I-b,Carbide,4,4,1,,,,99,99,,-4,105,28,29,,230,0,-940,
Giclas,,084.3,038.0,140.3,,giant,Pkunk,I,Dust,8,,5,8,,,75,25,0.4,-5,61,30,18,843,281,271,-290,1100
,,,,,,,,II,Infrared,9,2,7,,,,54,18,0.5,-24,96,27,25,1245,154,2641,-540,1813
,,,,,,,,III,Pellucid,5,,3,5,,,225,9,0.4,-38,62,34,21,336,155,103,110,2536
,,,,,,,,IV,Iodine,6,6,,2,5,110,242,100,1.2,6,59,105,61,80,244,110,560,3886
,,,,,,,,V,Gas Giant,8,1,8,3,1,0,0,0,2.4,-36,20,604,120,110,110,65535,-1,4527
,,,,,,,,VI,Acid,4,4,2,1,,,152,152,0.5,-5,101,27,27,11,243,13,760,5346
,,,,,,,,VII,Gas Giant,8,1,8,2,,,0,0,3.0,12,21,1057,221,81,109,65535,-1,5917
,,,,,,,,VII-a,Alkali,7,4,2,1,7,39,459,153,0.5,14,96,25,24,30,299,102,810,
,,,,,,,,VII-b,Radioactive,4,2,1,,4,12,2304,288,1.5,11,202,37,74,-7,284,10,560,
,,,,,,,,VII-c,Urea,7,7,4,2,5,70,101,101,0.3,-6,61,25,15,92,295,210,,
,,,,,,,,VIII,Magma,8,8,1,1,1,0,51,17,3.0,36,157,104,163,-42,273,0,-540,6609
Serpentis,Epsilon,487.2,040.8,328.9,red,dwarf,Yehat,I,Gas Giant,,2,8,,,,0,0,2.3,16,21,548,115,-236,139,65535,-1,2476
,,,,,,,,II,Pellucid,2,,1,,,,75,3,0.3,22,61,27,16,-242,171,0,-940,3509
,,,,,,,,III,Magma,7,7,,,,,153,51,2.4,23,146,84,122,-246,265,,,4652
,,,,,,,,IV,Ultramarine,3,2,3,,,,235,69,0.2,-15,33,33,10,-247,161,96,360,5207
,,,,,,,,V,Gas Giant,8,3,8,,,,0,0,3.0,-12,20,922,184,-250,137,65535,-1,6667
,,,,,,,,V-a,Chondrite,6,6,1,,,,61,61,0.6,-16,104,31,32,,264,0,-940,
,,,,,,,,V-b,Dust,3,3,,,2,20,9,3,0.3,-8,62,25,15,,167,12,160,
,,,,,,,,V-c,Pellucid,,,,,1,0,0,0,0.5,1,63,37,23,,165,0,-940,
,,,,,,,,VI,Gas Giant,8,2,8,,,,,,3.0,3,21,729,153,-252,84,65535,-1,7499
,,,,,,,,VI-a,Ultramarine,2,1,2,,,,458,112,0.2,1,32,36,11,,270,87,360,
,,,,,,,,VI-b,Cimmerian,3,3,1,,,,111,111,1.1,-23,148,,53,,247,0,-940,
,,,,,,,,VI-c,Noble,2,2,,,,,268,91,0.2,8,32,25,8,,231,,,
Ptolemae,Eta,174.0,042.3,102.7,blue,,None,I,Gas Giant,8,1,8,3,,,0,0,2.9,-12,20,737,147,126,147,65535,-1,1002
,,,,,,,,I-a,Oolite,,3,,,,,985,179,0.9,-26,156,29,45,113,152,3313,310,
,,,,,,,,I-b,Quasi-Degenerate,5,5,1,1,,,650,26,0.8,4,151,28,42,25,12978,0,-340,
,,,,,,,,I-c,Metal,8,3,8,3,,,661,137,1.0,14,,35,52,141,225,2614,310,
,,,,,,,,II,Urea,6,6,3,1,,,12,12,0.4,32,62,,21,-51,268,103,610,1809
,,,,,,,,III,Organic,4,4,1,,,,59,59,1.9,12,102,93,94,-95,52631,0,-740,2787
,,,,,,,,IV,Water,6,,2,,6,49,120,40,2.3,-12,104,111,115,-123,181,15,460,3945
,,,,,,,,V,Yttric,4,2,,,4,54,708,170,0.8,5,146,27,39,-141,225,13,360,5065
,,,,,,,,VI,Alkali,,4,1,,1,0,180,60,0.7,25,101,33,33,-160,198,12,160,6928
,,,,,,,,VII,Yttric,,,,,,,684,182,0.8,-27,150,26,39,-166,224,15,260,7652
Serpentis,Iota,459.6,042.9,302.1,white,,Yehat,I,Sapphire,3,3,,,,,4150,166,1.2,-10,60,104,62,-88,213,0,-740,3719
,,,,,,,,II,Gas Giant,8,2,8,,,,0,0,2.1,0,20,532,106,-133,145,65535,-1,6426
,,,,,,,,II-a,Yttric,4,4,1,,,,756,208,0.8,-19,152,25,38,,276,14,360,
,,,,,,,,II-b,Oolite,3,3,2,,,,660,132,1.0,-9,145,36,52,,177,84,560,
